time,infectious_A,infectious_B
75.57322601627126,25.0,5.0
76.04539702821222,24.0,5.0
76.16552172047925,24.0,5.0
76.39173758850085,23.0,5.0
76.48170595140147,24.0,5.0
76.7465721360803,25.0,5.0
77.18757285208811,24.0,5.0
77.45062321685464,24.0,5.0
78.14975257333711,24.0,5.0
78.15178417523408,24.0,5.0
78.22301080156328,23.0,5.0
78.94115370768145,23.0,6.0
78.96297888557102,24.0,6.0
79.17742676659249,23.0,6.0
79.27743822663216,24.0,6.0
79.57078619308813,25.0,6.0
79.95769158304576,24.0,6.0
80.30315532329853,23.0,6.0
80.39196293287709,24.0,6.0
80.41341597163729,25.0,6.0
80.58330076342847,24.0,6.0
80.93657855663685,24.0,5.0
80.95140455733026,24.0,4.0
81.0485536947349,24.0,3.0
81.75700588755922,23.0,3.0
81.96089762092183,24.0,3.0
82.01749597489562,23.0,3.0
82.08313249675903,24.0,3.0
82.13532916181714,25.0,3.0
82.46580471203605,24.0,3.0
82.54252659469752,23.0,3.0
82.75103061182023,22.0,3.0
82.85837695149532,21.0,3.0
83.27355272073812,22.0,3.0
83.4100599590877,21.0,3.0
84.0598182860355,20.0,3.0
84.1425804378827,19.0,3.0
84.26656761098837,19.0,2.0
84.37123218571308,20.0,2.0
84.43525119450895,19.0,2.0
84.43667612892072,19.0,3.0
84.46770244461813,18.0,3.0
84.68790935457724,19.0,3.0
84.7762910071028,18.0,3.0
85.21259377046331,18.0,3.0
85.41533998033167,17.0,3.0
85.55442507650439,18.0,3.0
86.1787137614616,17.0,3.0
86.35099931935444,16.0,3.0
86.44324917440419,17.0,3.0
86.4816150137693,18.0,3.0
86.73699869209167,18.0,3.0
87.18000490389126,19.0,3.0
87.18839529830001,20.0,3.0
87.1946496052501,21.0,3.0
87.21136539746632,22.0,3.0
87.37884507311051,21.0,3.0
87.4845616199275,22.0,3.0
87.5261453432301,22.0,3.0
87.87926931606134,21.0,3.0
87.91238417181609,21.0,4.0
88.25570746609431,22.0,4.0
88.33844616545909,23.0,4.0
88.52719876776203,22.0,4.0
88.60256384438867,23.0,4.0
88.69891106309953,22.0,4.0
88.80265749470837,23.0,4.0
88.80615786437964,24.0,4.0
88.87720040188465,24.0,3.0
89.37454194341345,23.0,3.0
89.55592743518352,24.0,3.0
89.7598525728292,23.0,3.0
89.80026092594744,22.0,3.0
89.95928606923837,22.0,3.0
90.08538970661515,23.0,3.0
90.40546191991108,22.0,3.0
90.6060694015529,23.0,3.0
91.17303301422162,23.0,3.0
91.3834154811028,22.0,3.0
91.4597294942378,21.0,3.0
91.55282496162096,21.0,4.0
91.66330150395076,22.0,4.0
92.22133755279026,21.0,4.0
92.32714842284666,20.0,4.0
92.37077095103271,19.0,4.0
92.4392499242591,18.0,4.0
92.60662403274684,18.0,5.0
92.64731347421986,17.0,5.0
92.83744706405855,18.0,5.0
92.83887972550869,19.0,5.0
92.85737943808206,18.0,5.0
92.92310105169541,19.0,5.0
93.25990950371138,20.0,5.0
93.3473159252374,21.0,5.0
93.41606774648952,22.0,5.0
93.56331804861384,21.0,5.0
93.82958287660858,20.0,5.0
94.11215572303388,19.0,5.0
94.55308586733572,18.0,5.0
94.57854689288324,19.0,5.0
94.6056634096067,20.0,5.0
94.62012439379758,21.0,5.0
94.8913068311097,20.0,5.0
94.91791743770945,20.0,6.0
95.0180347369336,20.0,7.0
95.05553712808623,19.0,7.0
95.20927102305679,20.0,7.0
95.30489495763804,20.0,8.0
95.3495755864706,20.0,7.0
95.45483942186715,21.0,7.0
95.60366713742769,21.0,6.0
95.77631678092405,22.0,6.0
95.82739506493876,22.0,5.0
95.94111408204068,21.0,5.0
96.04188338621405,22.0,5.0
96.25251001314352,23.0,5.0
96.37700411307719,22.0,5.0
96.45083425928522,21.0,5.0
96.47275880891047,20.0,5.0
96.4832398574485,21.0,5.0
96.58601374055033,20.0,5.0
96.67115868633698,19.0,5.0
96.84397838344385,18.0,5.0
96.90515038100288,17.0,5.0
96.95068741207642,16.0,5.0
97.0775269868044,16.0,4.0
97.29928510691722,15.0,4.0
97.41540017846312,16.0,4.0
97.4947857483758,15.0,4.0
97.70553852513171,14.0,4.0
98.17301034789506,13.0,4.0
98.37803958118973,13.0,3.0
98.40808935202176,14.0,3.0
98.65716012955701,15.0,3.0
98.77114477977959,15.0,3.0
98.91860702572193,16.0,3.0
99.06704408222603,15.0,3.0
99.20435204443152,16.0,3.0
99.34728369638425,15.0,3.0
99.38052784015643,15.0,2.0
100.4782713943965,14.0,2.0
100.92775654503187,15.0,2.0
101.0912670145177,14.0,2.0
101.11996095683865,15.0,2.0
101.28935625235482,14.0,2.0
101.32738214793238,15.0,2.0
101.53723430711983,14.0,2.0
101.55136225542125,15.0,2.0
101.58232844767215,15.0,3.0
101.67183368327422,16.0,3.0
102.63869075935047,15.0,3.0
103.12809377625814,16.0,3.0
103.71432124039858,15.0,3.0
103.73399221208707,14.0,3.0
103.9074592048106,15.0,3.0
103.90977673655372,16.0,3.0
104.15044681495938,17.0,3.0
104.16532726669541,16.0,3.0
104.45614232516171,15.0,3.0
104.60914757173302,15.0,4.0
104.62450462383657,15.0,3.0
104.86145495148067,14.0,3.0
104.86168055523711,15.0,3.0
104.99945103497167,15.0,2.0
105.00975536312818,15.0,3.0
105.23649307510412,14.0,3.0
105.50726168049705,14.0,4.0
105.74579403988452,15.0,4.0
105.81260679626737,14.0,4.0
106.45034119771184,13.0,4.0
106.67455942231618,13.0,3.0
106.93691960927632,13.0,4.0
106.98911916594669,14.0,4.0
107.13853100806656,15.0,4.0
107.38482506802897,15.0,3.0
107.45710065362233,16.0,3.0
107.62700628417006,17.0,3.0
108.34509991980443,16.0,3.0
108.70874402091967,15.0,3.0
108.86203937606892,15.0,4.0
108.87472581907703,16.0,4.0
109.31968614177183,16.0,5.0
109.61925838900046,15.0,5.0
109.90048910914979,16.0,5.0
110.07945263465535,15.0,5.0
110.3267154954501,15.0,5.0
110.44725716660511,15.0,6.0
110.57999039120989,16.0,6.0
110.73877173312236,16.0,7.0
110.7778731289057,17.0,7.0
111.06792341869334,16.0,7.0
111.32472427919255,15.0,7.0
111.36995235175019,15.0,6.0
111.70376821080518,14.0,6.0
111.82027706045106,13.0,6.0
112.44732851060523,13.0,7.0
112.83058017010664,13.0,8.0
113.1415745919989,13.0,7.0
113.1696038678922,13.0,8.0
113.17621683554309,12.0,8.0
113.40848394342085,11.0,8.0
113.99426044376044,12.0,8.0
114.08568234913544,13.0,8.0
114.25267836058345,14.0,8.0
114.35465686622405,14.0,9.0
114.84624309154523,13.0,9.0
114.99209725095402,12.0,9.0
115.12902378062905,12.0,8.0
115.7392748944928,11.0,8.0
116.12060142537368,11.0,9.0
116.3687703084079,11.0,10.0
117.16002893052227,11.0,9.0
117.20043683154444,11.0,9.0
117.26257364706859,11.0,8.0
117.53119509221328,10.0,8.0
118.67243912504286,10.0,7.0
118.88419135372402,11.0,7.0
119.2013082911703,11.0,8.0
119.27829648837483,11.0,9.0
120.07320001130083,10.0,9.0
120.23148848875103,10.0,8.0
120.36713182826908,10.0,7.0
120.56439292590468,10.0,6.0
120.74481896862108,11.0,6.0
121.04041255586009,12.0,6.0
121.14514007485532,13.0,6.0
121.24908462491886,13.0,6.0
121.31360022991339,14.0,6.0
121.32891877073541,13.0,6.0
121.42663361962934,13.0,5.0
121.87193272040828,14.0,5.0
121.98277003173843,15.0,5.0
122.03388569224363,14.0,5.0
122.26753824623653,15.0,5.0
122.30660614155111,14.0,5.0
122.36186590327937,15.0,5.0
122.39955454120147,14.0,5.0
122.48147392208384,15.0,5.0
122.55505573508727,15.0,4.0
122.74867696632731,16.0,4.0
123.37674413558572,15.0,4.0
123.50798675793915,16.0,4.0
123.6300241502099,15.0,4.0
123.77651876366862,15.0,5.0
124.1493641336901,16.0,5.0
124.18621552162952,16.0,4.0
124.25846934002234,17.0,4.0
124.57089385127392,18.0,4.0
125.16278319078046,18.0,4.0
125.19508225369415,17.0,4.0
125.48315616814624,16.0,4.0
125.49985891490113,17.0,4.0
125.56871159389642,16.0,4.0
125.857846649866,17.0,4.0
125.91720365632222,18.0,4.0
126.6125001023413,17.0,4.0
126.64326509076399,16.0,4.0
126.87515322636742,17.0,4.0
127.60257084787862,18.0,4.0
127.81774548554127,19.0,4.0
128.00718066662296,18.0,4.0
128.04288788440857,19.0,4.0
128.07152688406634,19.0,5.0
128.739893046594,18.0,5.0
128.79192793063808,17.0,5.0
128.83549402240013,16.0,5.0
128.90288020122154,15.0,5.0
129.01229326068656,16.0,5.0
129.44978724734995,16.0,6.0
129.55429755199444,17.0,6.0
129.89249698642334,18.0,6.0
130.23867512491273,18.0,7.0
130.26124591727148,19.0,7.0
130.45469044827468,18.0,7.0
130.7430978592552,19.0,7.0
130.75364179120308,19.0,8.0
130.78622895947478,20.0,8.0
130.9885117315093,19.0,8.0
131.15471842298652,18.0,8.0
131.17961558219798,18.0,9.0
131.38870639821445,18.0,8.0
131.3957311940259,19.0,8.0
131.44018502069022,19.0,7.0
131.45723858898674,19.0,8.0
131.69103889557718,18.0,8.0
131.7920863738183,18.0,7.0
132.2258324232441,18.0,7.0
132.36592421136137,17.0,7.0
132.57501579646708,18.0,7.0
132.71024271354653,17.0,7.0
132.8082648520257,18.0,7.0
132.9480836588347,17.0,7.0
133.10582697254162,17.0,6.0
133.17773573884045,16.0,6.0
133.34712173719987,15.0,6.0
133.62188704223806,16.0,6.0
133.79059529054203,15.0,6.0
133.96040433092875,15.0,7.0
134.1259431795749,16.0,7.0
134.29984025121072,17.0,7.0
134.3041199204918,16.0,7.0
134.43244713695566,16.0,6.0
134.464437009814,16.0,5.0
134.46458358035065,15.0,5.0
134.67365520508088,14.0,5.0
134.84182690078862,15.0,5.0
135.41435378159701,14.0,5.0
135.53920380835396,13.0,5.0
135.98309933665354,14.0,5.0
136.3504246911593,15.0,5.0
136.35312200337714,16.0,5.0
136.37339559047962,17.0,5.0
136.4104135336393,17.0,6.0
136.7982021522716,18.0,6.0
136.94745198477335,19.0,6.0
137.02980441045133,18.0,6.0
137.2191379353946,19.0,6.0
137.31461604545157,18.0,6.0
137.52741522412347,18.0,6.0
137.60595962703113,17.0,6.0
137.81303559814472,16.0,6.0
137.89352011734385,16.0,7.0
137.92170222259767,16.0,8.0
138.0698531138272,17.0,8.0
138.2677382902179,16.0,8.0
138.36031467333981,15.0,8.0
138.42092324981107,15.0,9.0
138.60503459250862,14.0,9.0
138.6253457040032,15.0,9.0
138.67822353558125,16.0,9.0
138.87191976246612,15.0,9.0
139.2121491486093,15.0,10.0
139.31524358532909,15.0,9.0
139.69452783038787,14.0,9.0
139.97227504965832,14.0,10.0
140.03768453796638,14.0,9.0
140.21063213922483,15.0,9.0
140.24543182173483,15.0,8.0
140.38405840523137,15.0,9.0
140.88874020040427,16.0,9.0
141.04119263672408,17.0,9.0
141.05278995831964,17.0,10.0
141.13960120143648,17.0,9.0
141.19508192119247,17.0,10.0
141.27910046266427,18.0,10.0
141.4333845869678,19.0,10.0
141.46594630634524,20.0,10.0
141.56407856295678,19.0,10.0
141.9244944855539,19.0,9.0
142.0548268186489,19.0,9.0
142.19927551622317,18.0,9.0
142.54048942948342,19.0,9.0
142.65979955529926,18.0,9.0
143.30691421396622,17.0,9.0
143.46973558718952,17.0,8.0
143.54459793896203,18.0,8.0
143.54711537059745,18.0,7.0
143.79620718883987,19.0,7.0
143.8401342385088,20.0,7.0
144.01705022107282,20.0,8.0
144.04107380150293,20.0,9.0
144.09641038357543,21.0,9.0
144.33572451461512,20.0,9.0
145.18987248591932,20.0,10.0
145.25890883646827,20.0,10.0
145.4385278163795,20.0,9.0
145.58764824095482,19.0,9.0
145.70988268585378,20.0,9.0
145.89130365877705,19.0,9.0
146.29503445624883,18.0,9.0
146.63004084355123,18.0,9.0
146.65487900488574,18.0,10.0
146.68189896709114,19.0,10.0
146.69210054377186,18.0,10.0
146.89925778934247,17.0,10.0
146.90317141424367,17.0,9.0
147.06840407365354,18.0,9.0
147.08263343051584,19.0,9.0
147.15013406159517,19.0,10.0
147.15021776142572,18.0,10.0
147.2593291352579,18.0,10.0
147.29286935429897,17.0,10.0
147.36351544986036,18.0,10.0
147.42976919738098,19.0,10.0
147.59468849917133,19.0,11.0
147.93278380887313,20.0,11.0
148.03272611439255,20.0,12.0
148.06940421816913,19.0,12.0
148.14633287190398,19.0,11.0
148.15019163951675,18.0,11.0
148.24810394153673,18.0,10.0
148.78233104458891,19.0,10.0
148.8699285345635,19.0,11.0
148.88074685043142,18.0,11.0
149.0874774413842,19.0,11.0
149.31030445089755,18.0,11.0
149.37876299410212,18.0,10.0
149.53491377818156,19.0,10.0
149.95470600536356,18.0,10.0
150.1485449610082,18.0,9.0
150.1662262441621,18.0,8.0
150.86932224872172,17.0,8.0
151.07772956088843,16.0,8.0
151.7000191238441,17.0,8.0
152.58081732668893,18.0,8.0
152.96220605656157,18.0,7.0
153.34786007239808,18.0,8.0
153.36308607605238,19.0,8.0
153.41475770092285,18.0,8.0
153.73850151205158,17.0,8.0
153.78155199942577,17.0,7.0
153.78678141336866,18.0,7.0
153.84685123266092,18.0,8.0
153.94255551851487,18.0,9.0
154.10299480253047,18.0,10.0
154.15815049586922,19.0,10.0
154.3033375814885,20.0,10.0
154.3251019872359,21.0,10.0
154.63580667935102,20.0,10.0
154.8141748328965,20.0,10.0
154.85010055020493,20.0,9.0
155.72646209801468,19.0,9.0
155.77454216787308,20.0,9.0
155.81392411244974,20.0,10.0
155.88734998979717,21.0,10.0
155.91234452137292,21.0,9.0
156.08027302812664,20.0,9.0
156.08085805000513,19.0,9.0
156.12170902012775,20.0,9.0
156.29376431903657,19.0,9.0
156.4732381940781,20.0,9.0
156.6920922049874,20.0,10.0
157.09194422391604,20.0,11.0
157.26972167752518,20.0,12.0
157.41891457260172,20.0,11.0
157.62303491391444,19.0,11.0
157.86136897554405,18.0,11.0
158.1789176987119,18.0,10.0
158.72937993425688,18.0,9.0
158.88560049440485,17.0,9.0
158.91872291329625,16.0,9.0
158.9707649277396,16.0,8.0
159.50191032601688,16.0,9.0
160.48039492488888,15.0,9.0
160.85804708802112,15.0,8.0
161.16531665274053,14.0,8.0
161.22233661898062,14.0,7.0
161.29399788555105,14.0,8.0
161.32707179658095,13.0,8.0
161.65301951889018,14.0,8.0
161.69255406943293,13.0,8.0
161.8334387999911,13.0,9.0
